method,mean,se,n_params,on_frontier
lgbm,1.8371873706532427,0.009967710123704916,3100,yes
cat,1.837582983353378,0.009512613741753944,63952,yes
ols,1.8475678436967324,0.010163046091376625,21,yes
tabpfn,1.860681821947858,0.01128033286001002,10000000,no
rf,1.8704795343556597,0.00984500553349765,477566,no
xgb,1.8785917796974831,0.009961365348806461,5459,no
poissonglm,1.887648843138226,0.010572705013712304,21,yes
tweedieglm,1.887648843138226,0.010572705013712304,21,yes
