method,mean,se,mean_auc,se_auc,mean_brier,se_brier,n_params,on_frontier
tabpfn,0.37255286344815,0.0012367052219054062,0.6331339283772706,0.005097356933610208,0.10918463776284033,0.00023636719206793306,10000000,yes
lr,0.37386483550071714,0.0011245533678159014,0.6131773425852289,0.005059125651346584,0.10957039594650268,0.00026916731552240167,19,yes
logisticglm,0.37413414716720583,0.0009491719887004757,0.6116612725417246,0.00430127533158938,0.10963362902402878,0.0002303046432595117,19,yes
cat,0.3778936763436058,0.00222641268346427,0.6106928742655398,0.007251663104470397,0.11041493967639768,0.0005252599637035478,63628,no
lgbm,0.37870602805206355,0.0015004865098114458,0.6067755525186286,0.004127539101174625,0.11090501831395087,0.0004195850894675111,3100,no
tweedieglm,0.38276003003120423,8.315891047476491e-05,0.5,0.0,0.11169085502624512,3.2255053520202635e-05,19,yes
poissonglm,0.38276003003120423,8.315891047476491e-05,0.5,0.0,0.11169085502624512,3.2255053520202635e-05,19,yes
rf,0.3904532436671646,0.004266287740395494,0.5823427705448878,0.003033416726280575,0.11268221162185603,0.00021971285698493527,237838,no
xgb,0.4045512080192566,0.0036062654136396703,0.5835728293066704,0.0060537496145367945,0.11609300673007965,0.000844713079687475,4194,no
